location,size,total_sqft,bath,price,price_per_sqft
Marathahalli,2,1220.0,2.0,57.0,4672.131147540984
Devarachikkanahalli,8,1350.0,7.0,85.0,6296.2962962962965
Kanakpura Road,2,1005.0,2.0,36.68,3649.7512437810947
other,3,500.0,3.0,100.0,20000.0
Begur Road,2,1358.0,2.0,80.58,5933.726067746687
Hegde Nagar,3,1569.0,3.0,101.0,6437.221159974506
Haralur Road,2,1240.0,2.0,70.0,5645.1612903225805
Hennur Road,3,2089.0,3.0,140.0,6701.771182383915
Kothannur,2,1206.0,2.0,48.23,3999.1708126036483
Kalena Agrahara,2,1150.0,2.0,40.0,3478.2608695652175
other,3,2511.0,3.0,205.0,8164.078056551175
Kaval Byrasandra,2,460.0,1.0,22.0,4782.608695652174
ISRO Layout,6,4400.0,6.0,250.0,5681.818181818182
other,3,1660.0,2.0,105.0,6325.301204819277
Yelahanka,2,1326.0,2.0,78.0,5882.35294117647
Garudachar Palya,3,1325.0,2.0,60.8,4588.679245283019
EPIP Zone,3,1499.0,5.0,102.0,6804.536357571715
Hegde Nagar,6,3000.0,7.0,210.0,7000.0
Kanakpura Road,3,1665.0,3.0,88.0,5285.285285285286
Dasanapura,2,708.0,2.0,37.0,5225.988700564972
Kasavanhalli,2,1060.0,2.0,58.06,5477.358490566037
Rajaji Nagar,6,710.0,6.0,160.0,22535.211267605635
Sanjay nagar,2,1000.0,2.0,70.0,7000.0
Electronic City,2,1000.0,2.0,28.88,2888.0
other,3,1450.0,2.0,70.0,4827.586206896552
ISRO Layout,4,1200.0,4.0,155.0,12916.666666666666
Thanisandra,2,1296.0,2.0,80.0,6172.83950617284
Domlur,3,1540.0,3.0,90.0,5844.1558441558445
Kengeri,4,2894.0,4.0,245.0,8465.791292328957
Sarjapura - Attibele Road,3,1330.0,2.0,48.0,3609.0225563909776
other,2,1200.0,2.0,65.0,5416.666666666667
other,3,1200.0,3.0,90.0,7500.0
Yeshwanthpur,3,2502.0,3.0,138.0,5515.587529976019
Chandapura,2,650.0,1.0,17.0,2615.3846153846152
Kothanur,3,2400.0,2.0,150.0,6250.0
other,2,1007.0,2.0,43.0,4270.109235352532
other,2,1200.0,2.0,50.0,4166.666666666667
other,2,966.0,2.0,49.9,5165.631469979296
Nagarbhavi,3,1630.0,2.0,98.0,6012.269938650306
Rajaji Nagar,3,1640.0,3.0,229.0,13963.414634146342
other,2,782.0,2.0,55.68,7120.204603580562
Devanahalli,2,1260.0,2.0,66.78,5300.0
other,3,1800.0,3.0,120.0,6666.666666666667
other,3,1413.0,2.0,75.0,5307.855626326964
Whitefield,2,1116.0,2.0,51.91,4651.433691756272
Electronic City,3,1530.0,2.0,45.9,3000.0
Ramamurthy Nagar,4,3700.0,4.0,225.0,6081.081081081081
Sarjapur  Road,3,2497.0,3.0,140.0,5606.728073688426
Kengeri,3,1540.0,2.0,64.0,4155.8441558441555
Thanisandra,3,1436.0,3.0,74.75,5205.431754874652
Malleshwaram,2,1100.0,2.0,75.0,6818.181818181818
Hennur Road,2,276.0,3.0,23.0,8333.333333333334
Thanisandra,3,1427.0,3.0,120.0,8409.250175192712
Akshaya Nagar,3,2061.0,3.0,200.0,9704.02717127608
Hebbal,4,5611.5,4.0,477.0,8500.400962309543
Shampura,4,2650.0,4.0,150.0,5660.377358490566
Devanahalli,3,1282.0,2.0,68.52,5344.773790951638
Kadugodi,2,1050.0,2.0,34.0,3238.095238095238
LB Shastri Nagar,3,1600.0,3.0,65.0,4062.5
other,2,945.0,2.0,54.0,5714.285714285715
Hormavu,2,1500.0,2.0,78.0,5200.0
Vishwapriya Layout,7,950.0,7.0,115.0,12105.263157894737
other,3,1870.0,3.0,110.0,5882.35294117647
Sarjapur,3,1600.0,3.0,75.0,4687.5
Electronic City,2,880.0,1.0,16.5,1875.0
other,4,1200.0,4.0,210.0,17500.0
Kudlu Gate,3,1535.0,3.0,83.0,5407.166123778502
Kanakpura Road,2,950.0,2.0,57.0,6000.0
Devanahalli,2,1360.0,2.0,65.0,4779.411764705882
8th Phase JP Nagar,2,1073.5,2.0,54.005,5030.740568234746
Bommasandra Industrial Area,3,1280.0,3.0,50.4,3937.5
other,3,1260.0,2.0,85.05,6750.0
Hennur Road,8,5000.0,8.0,250.0,5000.0
Yelahanka,5,3050.0,5.0,213.0,6983.606557377049
Kasavanhalli,3,1563.05,3.0,105.0,6717.635392341896
ISRO Layout,2,1000.0,2.0,60.0,6000.0
Anandapura,2,1167.0,2.0,43.76,3749.7857754927163
Vishveshwarya Layout,7,4000.0,7.0,225.0,5625.0
Kothanur,3,1828.0,3.0,110.0,6017.505470459519
Kengeri Satellite Town,2,890.0,2.0,35.0,3932.5842696629215
other,3,1612.0,3.0,46.74,2899.5037220843674
other,6,1034.0,5.0,185.0,17891.682785299807
Mysore Road,3,1710.0,4.0,91.31,5339.766081871345
Kannamangala,2,957.0,2.0,58.0,6060.606060606061
Devarachikkanahalli,3,1250.0,2.0,44.0,3520.0
other,3,2795.0,4.0,235.0,8407.871198568873
Hulimavu,2,1125.0,2.0,50.0,4444.444444444444
Electronic City Phase II,2,1020.0,2.0,30.6,3000.0
Kalena Agrahara,2,1200.0,2.0,50.0,4166.666666666667
Thanisandra,3,1735.0,3.0,135.0,7780.979827089337
Thanisandra,3,2050.0,3.0,145.0,7073.170731707317
Mahalakshmi Layout,4,3750.0,4.0,760.0,20266.666666666668
other,3,1350.0,2.0,48.0,3555.5555555555557
Hosa Road,2,1063.0,2.0,32.0,3010.348071495767
other,3,1904.0,3.0,150.0,7878.151260504202
Whitefield,4,4200.0,4.0,420.0,10000.0
other,3,2000.0,3.0,175.0,8750.0
Sarjapur,2,1242.5,2.0,43.49,3500.201207243461
other,3,1425.0,2.0,75.0,5263.1578947368425
Electronic City,3,1500.0,2.0,64.5,4300.0
Electronic City,2,1060.0,2.0,60.0,5660.377358490566
other,3,1470.0,2.0,70.0,4761.9047619047615
other,6,1300.0,6.0,99.0,7615.384615384615
Attibele,1,450.0,1.0,11.0,2444.4444444444443
Electronic City,2,1152.0,2.0,64.5,5598.958333333333
Electronic City,3,1350.0,2.0,56.0,4148.148148148148
CV Raman Nagar,3,1550.0,3.0,65.0,4193.548387096775
other,3,1500.0,3.0,100.0,6666.666666666667
Kumaraswami Layout,5,600.0,3.0,85.0,14166.666666666666
Nagavara,1,400.0,1.0,14.0,3500.0
Malleshwaram,1,705.0,1.0,67.0,9503.54609929078
Electronic City,2,770.0,1.0,36.0,4675.324675324675
Hulimavu,2,1242.0,2.0,51.0,4106.280193236715
Hebbal Kempapura,3,1700.0,3.0,155.0,9117.64705882353
Thanisandra,3,2144.0,3.0,145.0,6763.059701492537
Vijayanagar,3,1704.0,3.0,110.0,6455.399061032864
Electronic City,2,1070.0,2.0,52.0,4859.813084112149
other,3,1846.0,3.0,300.0,16251.354279523293
other,2,1340.0,2.0,55.7,4156.7164179104475
Electronic City,2,1025.0,2.0,46.0,4487.804878048781
KR Puram,2,1277.5,2.0,56.8,4446.183953033268
Marathahalli,2,1200.0,2.0,52.0,4333.333333333333
Kanakpura Road,4,2250.0,4.0,110.0,4888.888888888889
Pattandur Agrahara,3,1550.0,2.0,80.0,5161.290322580645
Bellandur,4,1200.0,5.0,325.0,27083.333333333332
other,7,1800.0,7.0,250.0,13888.888888888889
Marathahalli,2,1200.0,2.0,60.0,5000.0
Yelahanka,2,1327.0,2.0,98.0,7385.079125847777
Kothanur,2,1186.0,2.0,58.0,4890.387858347386
other,3,1783.0,3.0,115.0,6449.8037016264725
HSR Layout,3,1400.0,3.0,56.0,4000.0
Nagasandra,2,980.0,2.0,48.0,4897.959183673469
EPIP Zone,2,1285.0,2.0,82.0,6381.322957198444
other,3,912.0,2.0,70.0,7675.438596491228
Whitefield,2,1225.0,2.0,47.6,3885.714285714286
Whitefield,2,1075.0,2.0,53.0,4930.232558139535
Kadugodi,3,1260.0,2.0,54.0,4285.714285714285
Yelahanka,3,1282.0,2.0,48.7,3798.751950078003
Kogilu,3,1909.0,3.0,88.0,4609.743321110529
Panathur,2,1359.0,2.0,87.0,6401.766004415011
other,2,1207.0,2.0,43.5,3603.976801988401
Padmanabhanagar,4,1736.0,6.0,190.0,10944.700460829494
1st Block Jayanagar,4,2850.0,4.0,428.0,15017.543859649122
Kammasandra,3,1595.0,3.0,65.0,4075.2351097178685
other,3,1798.0,3.0,89.0,4949.944382647386
Electronics City Phase 1,3,1475.0,3.0,78.29,5307.796610169492
other,3,1580.0,3.0,100.0,6329.113924050633
Dasarahalli,2,1295.0,2.0,65.0,5019.305019305019
Magadi Road,6,3600.0,6.0,141.0,3916.6666666666665
Electronic City,1,589.0,1.0,27.0,4584.040747028863
other,3,1415.0,3.0,78.0,5512.367491166077
Sarjapur  Road,3,1787.0,3.0,98.29,5500.279798545048
Sarjapur  Road,3,1787.0,3.0,125.0,6994.963626189144
Koramangala,3,1475.0,2.0,90.0,6101.6949152542375
other,4,2000.0,4.0,75.5,3775.0
Sarjapur  Road,2,984.0,2.0,44.28,4500.0
other,3,2405.0,4.0,260.0,10810.81081081081
7th Phase JP Nagar,2,1080.0,2.0,72.0,6666.666666666667
other,2,1500.0,2.0,115.0,7666.666666666667
Hebbal,3,1900.0,3.0,119.0,6263.1578947368425
Dommasandra,2,805.0,2.0,22.14,2750.3105590062114
Budigere,2,1153.0,2.0,56.4,4891.587163920208
other,2,1148.0,2.0,60.0,5226.480836236934
other,2,1110.0,2.0,55.0,4954.954954954955
Electronic City,2,1100.0,2.0,42.0,3818.181818181818
Kalyan nagar,2,1290.0,2.0,110.0,8527.131782945737
other,3,1500.0,2.0,65.0,4333.333333333333
other,2,1080.0,2.0,39.0,3611.1111111111113
Vijayanagar,3,1933.0,3.0,129.0,6673.564407656492
Ramamurthy Nagar,5,3500.0,5.0,150.0,4285.714285714285
other,2,1060.0,2.0,60.0,5660.377358490566
Chandapura,1,645.0,1.0,16.45,2550.3875968992247
other,8,2600.0,8.0,180.0,6923.076923076923
Chandapura,1,645.0,1.0,16.45,2550.3875968992247
other,3,1644.0,3.0,84.0,5109.489051094891
other,2,1285.0,2.0,72.5,5642.023346303502
Electronic City,3,1200.0,3.0,90.0,7500.0
Electronic City,2,910.0,2.0,40.0,4395.604395604396
Kothanur,3,1577.0,3.0,70.0,4438.807863031072
other,3,4050.0,3.0,280.0,6913.580246913581
OMBR Layout,3,2420.0,3.0,185.0,7644.628099173554
Chandapura,2,800.0,1.0,20.0,2500.0
other,2,1060.0,2.0,55.0,5188.679245283019
7th Phase JP Nagar,2,1270.0,2.0,93.0,7322.834645669292
other,2,900.0,2.0,22.5,2500.0
other,2,1280.0,2.0,69.0,5390.625
Horamavu Agara,4,1200.0,2.0,95.0,7916.666666666667
Sarjapur  Road,2,1025.0,2.0,36.0,3512.1951219512193
Electronic City,2,1108.0,2.0,63.0,5685.9205776173285
other,5,1200.0,5.0,170.0,14166.666666666666
other,3,3045.0,3.0,170.0,5582.922824302134
Ambedkar Nagar,4,2900.0,3.0,300.0,10344.827586206897
Vijayanagar,3,1500.0,3.0,75.5,5033.333333333333
Raja Rajeshwari Nagar,2,1295.0,2.0,43.9,3389.96138996139
Budigere,2,1162.0,2.0,59.9,5154.9053356282275
Sarjapur  Road,2,1035.0,2.0,49.2,4753.623188405797
Attibele,4,1600.0,4.0,52.8,3300.0
other,3,1464.0,3.0,46.0,3142.0765027322404
Hennur Road,3,1866.0,2.0,61.58,3300.10718113612
other,2,700.0,1.0,26.0,3714.285714285714
Kalena Agrahara,3,1804.0,3.0,120.0,6651.884700665189
Sarjapur,2,913.0,2.0,32.0,3504.9288061336256
Talaghattapura,3,1868.0,3.0,131.0,7012.847965738758
Kengeri Satellite Town,2,883.0,2.0,45.0,5096.262740656852
other,2,900.0,2.0,110.0,12222.222222222223
Kogilu,3,1664.0,2.0,73.95,4444.110576923077
Hegde Nagar,3,2026.0,3.0,132.0,6515.301085883514
Balagere,2,1210.0,2.0,80.9,6685.950413223141
other,4,4111.0,4.0,250.0,6081.24543906592
Kadugodi,3,1762.0,3.0,91.45,5190.124858115778
Jigani,3,1252.0,3.0,55.0,4392.97124600639
Gollarapalya Hosahalli,2,861.0,2.0,34.5,4006.968641114983
7th Phase JP Nagar,3,1420.0,2.0,100.0,7042.2535211267605
other,6,1450.0,6.0,250.0,17241.379310344826
Electronics City Phase 1,3,1490.0,3.0,78.8,5288.5906040268455
Bisuvanahalli,3,1075.0,2.0,46.0,4279.069767441861
Old Madras Road,3,1425.0,2.0,94.0,6596.491228070176
Kalena Agrahara,2,1200.0,2.0,40.0,3333.3333333333335
Kaggadasapura,3,1280.0,2.0,56.0,4375.0
other,2,1084.0,2.0,50.0,4612.546125461255
Chandapura,2,1015.0,2.0,25.88,2549.753694581281
Kanakpura Road,2,1017.0,2.0,51.25,5039.331366764995
Haralur Road,2,1027.0,2.0,44.0,4284.323271665044
Electronic City Phase II,2,1069.0,2.0,45.0,4209.541627689429
Hebbal,2,1349.0,2.0,98.2,7279.466271312083
9th Phase JP Nagar,2,1005.0,2.0,50.0,4975.124378109453
Jakkur,2,1417.0,2.0,75.0,5292.87226534933
TC Palaya,3,1475.0,3.0,98.0,6644.067796610169
other,2,950.0,2.0,47.0,4947.368421052632
other,4,2000.0,4.0,120.0,6000.0
Giri Nagar,3,880.0,3.0,140.0,15909.09090909091
Sarjapur  Road,4,1863.0,3.0,104.0,5582.393988191089
Singasandra,2,1010.0,2.0,29.5,2920.792079207921
Kalena Agrahara,3,1425.0,2.0,70.0,4912.2807017543855
Vijayanagar,3,1450.0,3.0,100.0,6896.551724137931
Kothanur,3,1847.0,3.0,105.0,5684.89442338928
AECS Layout,2,1100.0,2.0,45.0,4090.909090909091
Kanakpura Road,1,525.0,1.0,26.0,4952.380952380952
Mallasandra,3,1665.0,3.0,95.0,5705.705705705705
Begur,4,1664.0,4.0,65.0,3906.25
JP Nagar,3,1850.0,3.0,150.0,8108.108108108108
Panathur,2,1438.0,2.0,100.0,6954.102920723227
other,3,1560.0,3.0,115.0,7371.794871794872
Yelahanka,2,1350.0,2.0,55.55,4114.814814814815
Kanakpura Road,3,1550.0,3.0,67.0,4322.580645161291
Malleshpalya,2,1140.0,2.0,46.5,4078.9473684210525
other,5,1200.0,5.0,180.0,15000.0
other,2,850.0,2.0,27.0,3176.470588235294
Whitefield,2,1280.0,2.0,75.0,5859.375
Munnekollal,2,1170.0,2.0,52.0,4444.444444444444
other,2,1113.0,2.0,51.0,4582.210242587601
Hennur Road,2,1385.0,2.0,83.09,5999.27797833935
Electronic City,2,1128.0,2.0,65.0,5762.41134751773
Marathahalli,2,1200.0,2.0,128.0,10666.666666666666
other,4,1200.0,4.0,165.0,13750.0
Rajaji Nagar,3,2390.0,3.0,415.0,17364.016736401674
Giri Nagar,4,2400.0,4.0,400.0,16666.666666666668
Haralur Road,3,1464.0,3.0,56.0,3825.136612021858
other,2,1200.0,2.0,55.0,4583.333333333333
Kaval Byrasandra,2,1200.0,2.0,52.0,4333.333333333333
Kaggalipura,3,1150.0,2.0,55.0,4782.608695652174
other,3,1645.0,3.0,95.0,5775.075987841945
Sarjapur  Road,2,1000.0,2.0,67.0,6700.0
Haralur Road,4,2650.0,4.0,198.0,7471.698113207547
6th Phase JP Nagar,2,1192.0,2.0,74.0,6208.053691275168
Ulsoor,3,2135.0,3.0,215.0,10070.257611241217
Whitefield,2,1173.0,2.0,58.0,4944.58653026428
Uttarahalli,2,1020.0,2.0,45.0,4411.764705882353
Thigalarapalya,4,3122.0,6.0,230.0,7367.072389493914
Somasundara Palya,3,1600.0,3.0,64.0,4000.0
other,2,1200.0,2.0,79.0,6583.333333333333
other,2,1230.0,2.0,48.0,3902.439024390244
Devarachikkanahalli,2,1250.0,2.0,40.0,3200.0
Kalena Agrahara,2,1325.0,2.0,76.0,5735.8490566037735
7th Phase JP Nagar,3,1850.0,3.0,150.0,8108.108108108108
Basaveshwara Nagar,2,1200.0,2.0,65.0,5416.666666666667
other,3,1350.0,2.0,140.0,10370.37037037037
Bommasandra,3,1260.0,3.0,49.36,3917.4603174603176
other,3,1800.0,3.0,150.0,8333.333333333334
other,3,11.0,3.0,74.0,672727.2727272727
Ardendale,2,1100.0,2.0,43.25,3931.818181818182
Harlur,2,1508.0,2.0,77.0,5106.100795755968
other,3,1592.0,3.0,75.0,4711.05527638191
Akshaya Nagar,2,1388.0,2.0,57.0,4106.628242074928
Electronic City Phase II,1,630.0,1.0,28.35,4500.0
other,3,2000.0,3.0,365.0,18250.0
other,3,1762.0,3.0,125.0,7094.211123723042
other,2,950.0,2.0,50.0,5263.1578947368425
Kodihalli,4,3252.0,5.0,335.0,10301.353013530135
Magadi Road,2,1116.0,2.0,50.0,4480.286738351255
Narayanapura,2,1308.0,2.0,89.04,6807.339449541284
other,3,1200.0,3.0,90.0,7500.0
other,4,1500.0,4.0,230.0,15333.333333333334
Bannerghatta Road,1,500.0,1.0,18.5,3700.0
Hennur,2,1075.0,2.0,52.0,4837.209302325581
Chandapura,1,530.0,1.0,11.66,2200.0
Bellandur,2,1205.0,2.0,66.0,5477.178423236514
5th Phase JP Nagar,2,1075.0,2.0,60.0,5581.395348837209
KR Puram,2,930.0,2.0,39.0,4193.548387096775
Balagere,2,1380.0,2.0,60.0,4347.826086956522
Hebbal,4,2483.0,5.0,212.0,8538.058799838904
Kodigehaali,2,1166.0,2.0,55.0,4716.981132075472
Bannerghatta Road,2,1050.0,2.0,65.0,6190.476190476191
other,3,2023.71,3.0,275.0,13588.903548433324
Begur Road,2,1200.0,2.0,46.8,3900.0
Lakshminarayana Pura,3,1600.0,2.0,108.0,6750.0
Billekahalli,3,1935.0,3.0,110.0,5684.754521963824
8th Phase JP Nagar,1,451.0,1.0,29.9,6629.711751662971
Electronic City,3,1800.0,3.0,95.0,5277.777777777777
Jalahalli,3,1400.0,3.0,77.0,5500.0
Hegde Nagar,3,1801.0,3.0,115.0,6385.341476957246
Mahadevpura,2,1451.0,2.0,90.0,6202.618883528601
Anekal,2,1200.0,1.0,36.0,3000.0
Begur Road,2,1160.0,2.0,44.0,3793.103448275862
Kengeri,2,1000.0,2.0,25.0,2500.0
Kanakpura Road,2,950.0,2.0,40.0,4210.526315789473
other,3,1629.0,3.0,79.0,4849.600982197668
Vijayanagar,3,1580.0,2.0,134.0,8481.012658227848
Vijayanagar,3,1826.0,3.0,121.0,6626.506024096386
7th Phase JP Nagar,2,1245.0,2.0,94.0,7550.2008032128515
Raja Rajeshwari Nagar,2,1145.0,2.0,45.79,3999.126637554585
Sompura,2,825.0,2.0,33.0,4000.0
Yeshwanthpur,3,1693.0,3.0,108.0,6379.208505611341
Electronics City Phase 1,2,1113.27,2.0,53.0,4760.74986301616
other,2,1460.0,2.0,58.0,3972.6027397260273
Doddathoguru,2,1050.0,2.0,32.0,3047.6190476190477
Dodda Nekkundi,2,1260.0,2.0,55.0,4365.079365079365
other,6,700.0,3.0,120.0,17142.85714285714
Hosur Road,2,1656.0,2.0,120.0,7246.376811594203
Chandapura,3,1208.0,3.0,45.0,3725.1655629139073
Whitefield,3,1910.0,3.0,161.0,8429.319371727748
Whitefield,4,3252.0,4.0,230.0,7072.570725707257
Battarahalli,2,1200.0,2.0,65.0,5416.666666666667
other,4,1200.0,4.0,175.0,14583.333333333334
7th Phase JP Nagar,2,1175.0,2.0,82.0,6978.723404255319
other,2,1000.0,2.0,165.0,16500.0
Bannerghatta Road,4,1200.0,2.0,125.0,10416.666666666666
Rajaji Nagar,3,2390.0,3.0,410.0,17154.81171548117
Rajaji Nagar,7,12000.0,6.0,2200.0,18333.333333333332
Sultan Palaya,2,550.0,1.0,62.0,11272.727272727272
Kengeri,1,,1.0,18.5,
other,2,1185.0,2.0,38.0,3206.7510548523205
Kengeri,2,750.0,2.0,38.0,5066.666666666667
Mahalakshmi Layout,6,1200.0,7.0,250.0,20833.333333333332
Kanakpura Road,3,1550.0,3.0,64.5,4161.290322580645
other,3,1760.0,3.0,88.0,5000.0
Billekahalli,2,1125.0,2.0,62.0,5511.111111111111
Nagarbhavi,3,1350.0,3.0,150.0,11111.111111111111
Anandapura,2,1000.0,2.0,55.0,5500.0
Bommasandra Industrial Area,2,1090.0,2.0,31.48,2888.0733944954127
TC Palaya,2,1200.0,2.0,60.0,5000.0
Budigere,3,1991.0,4.0,103.0,5173.279758915118
Bommasandra,2,1060.0,2.0,26.5,2500.0
Ambalipura,2,1105.0,2.0,75.0,6787.330316742082
Hoodi,2,985.0,2.0,67.0,6802.030456852792
Chandapura,6,1533.0,5.0,85.0,5544.683626875408
Balagere,3,1590.0,3.0,79.0,4968.553459119496
CV Raman Nagar,2,1120.0,2.0,55.0,4910.714285714285
other,2,1069.0,2.0,55.0,5144.9953227315245
Marathahalli,3,1933.0,3.0,140.0,7242.628039317124
Hosur Road,2,1194.0,2.0,69.0,5778.894472361809
Brookefield,2,1150.0,2.0,69.0,6000.0
Yelenahalli,2,1240.0,2.0,47.12,3800.0
Raja Rajeshwari Nagar,2,1419.0,2.0,48.1,3389.7110641296686
7th Phase JP Nagar,8,1200.0,8.0,250.0,20833.333333333332
other,3,2150.0,4.0,240.0,11162.790697674418
other,3,1450.0,3.0,55.0,3793.103448275862
other,3,1630.0,3.0,68.29,4189.57055214724
Dasanapura,2,708.0,1.0,40.0,5649.717514124294
Kasavanhalli,3,1000.0,4.0,110.0,11000.0
Whitefield,4,11890.0,4.0,700.0,5887.300252312868
Bellandur,2,1250.0,2.0,76.0,6080.0
7th Phase JP Nagar,3,1400.0,2.0,95.0,6785.714285714285
Sarjapur  Road,3,1670.0,2.0,57.0,3413.1736526946106
Ardendale,3,1750.0,3.0,100.0,5714.285714285715
Vittasandra,2,1404.0,2.0,71.0,5056.980056980057
Hoodi,3,1715.0,2.0,95.0,5539.35860058309
Electronic City,1,630.0,1.0,34.65,5500.0
Harlur,3,1752.12,3.0,135.0,7704.951715635916
Hulimavu,3,1650.0,3.0,78.0,4727.272727272727
Raja Rajeshwari Nagar,2,1295.0,2.0,55.47,4283.397683397683
Giri Nagar,3,1800.0,3.0,252.0,14000.0
Sarjapur  Road,2,1346.0,2.0,74.03,5500.0
other,4,1200.0,4.0,200.0,16666.666666666668
Hormavu,2,1150.0,2.0,55.0,4782.608695652174
other,4,3309.0,4.0,325.0,9821.698398307646
Chandapura,3,1190.0,2.0,30.35,2550.4201680672268
AECS Layout,3,1620.0,3.0,98.0,6049.382716049383
Marathahalli,2,950.0,2.0,46.96,4943.1578947368425
other,11,5000.0,9.0,360.0,7200.0
Harlur,3,2450.0,3.0,120.0,4897.959183673469
Electronic City Phase II,3,1220.0,2.0,35.23,2887.7049180327863
other,2,850.0,2.0,30.0,3529.4117647058824
Padmanabhanagar,2,1020.0,2.0,63.0,6176.470588235294
Chikkalasandra,2,1100.0,2.0,50.0,4545.454545454545
other,2,1150.0,2.0,126.0,10956.521739130434
Hebbal,3,1760.0,2.0,130.0,7386.363636363636
Ambalipura,3,1800.0,3.0,110.0,6111.111111111111
Akshaya Nagar,2,1070.0,2.0,54.0,5046.728971962617
2nd Stage Nagarbhavi,4,1500.0,4.0,220.0,14666.666666666666
Vidyaranyapura,2,1440.0,2.0,95.0,6597.222222222223
Amruthahalli,2,900.0,2.0,40.0,4444.444444444444
other,4,1200.0,4.0,230.0,19166.666666666668
Whitefield,2,1130.0,2.0,42.16,3730.973451327434
Koramangala,2,1320.0,2.0,165.0,12500.0
Kodigehalli,2,1270.0,2.0,98.0,7716.535433070866
other,2,1200.0,2.0,62.0,5166.666666666667
other,4,4800.0,4.0,235.0,4895.833333333333
other,2,1200.0,2.0,74.0,6166.666666666667
Subramanyapura,2,929.0,2.0,50.17,5400.4305705059205
other,4,1150.0,4.0,260.0,22608.695652173912
Basavangudi,4,1125.0,4.0,180.0,16000.0
Kenchenahalli,5,500.0,3.0,65.0,13000.0
