location,size,total_sqft,bath,price
Kanakpura Road,4,2250.0,4.0,110.0
Pattandur Agrahara,3,1550.0,2.0,80.0
Bellandur,4,1200.0,5.0,325.0
Ejipura,7,1800.0,7.0,250.0
Marathahalli,2,1200.0,2.0,60.0
Yelahanka,2,1327.0,2.0,98.0
Kothanur,2,1186.0,2.0,58.0
MS Pallya,3,1783.0,3.0,115.0
HSR Layout,3,1400.0,3.0,56.0
Nagasandra,2,980.0,2.0,48.0
EPIP Zone,2,1285.0,2.0,82.0
Langford Town,3,912.0,2.0,70.0
Whitefield,2,1225.0,2.0,47.6
Whitefield,2,1075.0,2.0,53.0
Kadugodi,3,1260.0,2.0,54.0
Yelahanka,3,1282.0,2.0,48.7
Kogilu,3,1909.0,3.0,88.0
Panathur,2,1359.0,2.0,87.0
Nagondanahalli,2,1207.0,2.0,43.5
Padmanabhanagar,4,1736.0,6.0,190.0
1st Block Jayanagar,4,2850.0,4.0,428.0
Kammasandra,3,1595.0,3.0,65.0
"Off Sarjapur Road, ",3,1798.0,3.0,89.0
Electronics City Phase 1,3,1475.0,3.0,78.29
Tala Cauvery Layout,3,1580.0,3.0,100.0
Dasarahalli,2,1295.0,2.0,65.0
Magadi Road,6,3600.0,6.0,141.0
Electronic City,1,589.0,1.0,27.0
Ngef Layout,3,1415.0,3.0,78.0
Sarjapur  Road,3,1787.0,3.0,98.29
Sarjapur  Road,3,1787.0,3.0,125.0
Koramangala,3,1475.0,2.0,90.0
"Lakshminarayanapura, Electronic City Phase 2",4,2000.0,4.0,75.5
Sarjapur  Road,2,984.0,2.0,44.28
Muthurayya Swamy Layout,3,2405.0,4.0,260.0
7th Phase JP Nagar,2,1080.0,2.0,72.0
Shantiniketan Layout,2,1500.0,2.0,115.0
Hebbal,3,1900.0,3.0,119.0
Dommasandra,2,805.0,2.0,22.14
Budigere,2,1153.0,2.0,56.4
Dodda Nekkundi Extension,2,1148.0,2.0,60.0
Mylasandra,2,1110.0,2.0,55.0
Electronic City,2,1100.0,2.0,42.0
Kalyan nagar,2,1290.0,2.0,110.0
Dr Shivarama Karantha Nagar,3,1500.0,2.0,65.0
Bank Of Baroda Colony,2,1080.0,2.0,39.0
Vijayanagar,3,1933.0,3.0,129.0
Ramamurthy Nagar,5,3500.0,5.0,150.0
Kullappa Colony,2,1060.0,2.0,60.0
Chandapura,1,645.0,1.0,16.45
Mukkutam Nagar,8,2600.0,8.0,180.0
Chandapura,1,645.0,1.0,16.45
Ashwath Nagar,3,1644.0,3.0,84.0
Ncpr Industrial Layout,2,1285.0,2.0,72.5
Electronic City,3,1200.0,3.0,90.0
Electronic City,2,910.0,2.0,40.0
Kothanur,3,1577.0,3.0,70.0
Meenakunte,3,4050.0,3.0,280.0
OMBR Layout,3,2420.0,3.0,185.0
Chandapura,2,800.0,1.0,20.0
Anand Nagar,2,1060.0,2.0,55.0
7th Phase JP Nagar,2,1270.0,2.0,93.0
Shree Ananth Nagar Layout,2,900.0,2.0,22.5
Kundalahalli Colony,2,1280.0,2.0,69.0
Horamavu Agara,4,1200.0,2.0,95.0
Sarjapur  Road,2,1025.0,2.0,36.0
Electronic City,2,1108.0,2.0,63.0
MCECHS  layout,5,1200.0,5.0,170.0
Coffee Board Layout,3,3045.0,3.0,170.0
Ambedkar Nagar,4,2900.0,3.0,300.0
Vijayanagar,3,1500.0,3.0,75.5
Raja Rajeshwari Nagar,2,1295.0,2.0,43.9
Budigere,2,1162.0,2.0,59.9
Sarjapur  Road,2,1035.0,2.0,49.2
Attibele,4,1600.0,4.0,52.8
KUDLU MAIN ROAD,3,1464.0,3.0,46.0
Hennur Road,3,1866.0,2.0,61.58
Geleyara Balaga Layout,2,700.0,1.0,26.0
Kalena Agrahara,3,1804.0,3.0,120.0
Sarjapur,2,913.0,2.0,32.0
Talaghattapura,3,1868.0,3.0,131.0
Kengeri Satellite Town,2,883.0,2.0,45.0
Sundara Nagar,2,900.0,2.0,110.0
Kogilu,3,1664.0,2.0,73.95
Hegde Nagar,3,2026.0,3.0,132.0
Balagere,2,1210.0,2.0,80.9
Meenakunte,4,4111.0,4.0,250.0
Kadugodi,3,1762.0,3.0,91.45
Jigani,3,1252.0,3.0,55.0
Gollarapalya Hosahalli,2,861.0,2.0,34.5
7th Phase JP Nagar,3,1420.0,2.0,100.0
Srirampura,6,1450.0,6.0,250.0
Electronics City Phase 1,3,1490.0,3.0,78.8
Bisuvanahalli,3,1075.0,2.0,46.0
Old Madras Road,3,1425.0,2.0,94.0
Kalena Agrahara,2,1200.0,2.0,40.0
Kaggadasapura,3,1280.0,2.0,56.0
Silver Springs Layout,2,1084.0,2.0,50.0
Chandapura,2,1015.0,2.0,25.88
Kanakpura Road,2,1017.0,2.0,51.25
Haralur Road,2,1027.0,2.0,44.0
Electronic City Phase II,2,1069.0,2.0,45.0
Hebbal,2,1349.0,2.0,98.2
9th Phase JP Nagar,2,1005.0,2.0,50.0
Jakkur,2,1417.0,2.0,75.0
TC Palaya,3,1475.0,3.0,98.0
Maruthi Sevanagar,2,950.0,2.0,47.0
RMV 2nd Stage,4,2000.0,4.0,120.0
Giri Nagar,3,880.0,3.0,140.0
Sarjapur  Road,4,1863.0,3.0,104.0
Singasandra,2,1010.0,2.0,29.5
Kalena Agrahara,3,1425.0,2.0,70.0
Vijayanagar,3,1450.0,3.0,100.0
Kothanur,3,1847.0,3.0,105.0
AECS Layout,2,1100.0,2.0,45.0
Kanakpura Road,1,525.0,1.0,26.0
Mallasandra,3,1665.0,3.0,95.0
Begur,4,1664.0,4.0,65.0
JP Nagar,3,1850.0,3.0,150.0
Panathur,2,1438.0,2.0,100.0
Sunder Ram Shetty Nagar,3,1560.0,3.0,115.0
Yelahanka,2,1350.0,2.0,55.55
Kanakpura Road,3,1550.0,3.0,67.0
Malleshpalya,2,1140.0,2.0,46.5
Srirampura,5,1200.0,5.0,180.0
Kodathi,2,850.0,2.0,27.0
Whitefield,2,1280.0,2.0,75.0
Munnekollal,2,1170.0,2.0,52.0
Motappa Layout,2,1113.0,2.0,51.0
Hennur Road,2,1385.0,2.0,83.09
Electronic City,2,1128.0,2.0,65.0
Marathahalli,2,1200.0,2.0,128.0
Akshaya Vana,4,1200.0,4.0,165.0
Rajaji Nagar,3,2390.0,3.0,415.0
Giri Nagar,4,2400.0,4.0,400.0
Haralur Road,3,1464.0,3.0,56.0
Manayata Tech Park,2,1200.0,2.0,55.0
Kaval Byrasandra,2,1200.0,2.0,52.0
Kaggalipura,3,1150.0,2.0,55.0
Basavanna Nagar,3,1645.0,3.0,95.0
Sarjapur  Road,2,1000.0,2.0,67.0
Haralur Road,4,2650.0,4.0,198.0
6th Phase JP Nagar,2,1192.0,2.0,74.0
Ulsoor,3,2135.0,3.0,215.0
Whitefield,2,1173.0,2.0,58.0
Uttarahalli,2,1020.0,2.0,45.0
Thigalarapalya,4,3122.0,6.0,230.0
Somasundara Palya,3,1600.0,3.0,64.0
T.C PALYA,2,1200.0,2.0,79.0
Muneshwara Nagar,2,1230.0,2.0,48.0
 Devarachikkanahalli,2,1250.0,2.0,40.0
Kalena Agrahara,2,1325.0,2.0,76.0
7th Phase JP Nagar,3,1850.0,3.0,150.0
Basaveshwara Nagar,2,1200.0,2.0,65.0
Bull Temple Road,3,1350.0,2.0,140.0
Bommasandra,3,1260.0,3.0,49.36
Prashanth Nagar,3,1800.0,3.0,150.0
Suragajakkanahalli,3,11.0,3.0,74.0
Ardendale,2,1100.0,2.0,43.25
Harlur,2,1508.0,2.0,77.0
Sampigehalli,3,1592.0,3.0,75.0
Akshaya Nagar,2,1388.0,2.0,57.0
Electronic City Phase II,1,630.0,1.0,28.35
RMV,3,2000.0,3.0,365.0
Banashankari3rd stage bigbazar,3,1762.0,3.0,125.0
Bagalur Main Road,2,950.0,2.0,50.0
Kodihalli,4,3252.0,5.0,335.0
Magadi Road,2,1116.0,2.0,50.0
Narayanapura,2,1308.0,2.0,89.04
MS Pallya,3,1200.0,3.0,90.0
Binny Mills Employees Colony,4,1500.0,4.0,230.0
Bannerghatta Road,1,500.0,1.0,18.5
Hennur,2,1075.0,2.0,52.0
Chandapura,1,530.0,1.0,11.66
Bellandur,2,1205.0,2.0,66.0
5th Phase JP Nagar,2,1075.0,2.0,60.0
KR Puram,2,930.0,2.0,39.0
Balagere,2,1380.0,2.0,60.0
Hebbal,4,2483.0,5.0,212.0
Kodigehaali,2,1166.0,2.0,55.0
Bannerghatta Road,2,1050.0,2.0,65.0
Gopalapura,3,2023.71,3.0,275.0
Begur Road,2,1200.0,2.0,46.8
Lakshminarayana Pura,3,1600.0,2.0,108.0
Billekahalli,3,1935.0,3.0,110.0
8th Phase JP Nagar,1,451.0,1.0,29.9
Electronic City,3,1800.0,3.0,95.0
Jalahalli,3,1400.0,3.0,77.0
Hegde Nagar,3,1801.0,3.0,115.0
Mahadevpura,2,1451.0,2.0,90.0
Anekal,2,1200.0,1.0,36.0
Begur Road,2,1160.0,2.0,44.0
Kengeri,2,1000.0,2.0,25.0
Kanakpura Road,2,950.0,2.0,40.0
"Hoodi Circle, ",3,1629.0,3.0,79.0
Vijayanagar,3,1580.0,2.0,134.0
Vijayanagar,3,1826.0,3.0,121.0
7th Phase JP Nagar,2,1245.0,2.0,94.0
Raja Rajeshwari Nagar,2,1145.0,2.0,45.79
Sompura,2,825.0,2.0,33.0
Yeshwanthpur,3,1693.0,3.0,108.0
Electronics City Phase 1,2,1113.27,2.0,53.0
Ashirvad Colony,2,1460.0,2.0,58.0
Doddathoguru,2,1050.0,2.0,32.0
Dodda Nekkundi,2,1260.0,2.0,55.0
K N Extension,6,700.0,3.0,120.0
Hosur Road,2,1656.0,2.0,120.0
Chandapura,3,1208.0,3.0,45.0
Whitefield,3,1910.0,3.0,161.0
Whitefield,4,3252.0,4.0,230.0
Battarahalli,2,1200.0,2.0,65.0
Gokula Extension,4,1200.0,4.0,175.0
7th Phase JP Nagar,2,1175.0,2.0,82.0
Kamakshipalya,2,1000.0,2.0,165.0
Bannerghatta Road,4,1200.0,2.0,125.0
Rajaji Nagar,3,2390.0,3.0,410.0
Rajaji Nagar,7,12000.0,6.0,2200.0
Sultan Palaya,2,550.0,1.0,62.0
Sanne Amanikere,2,1185.0,2.0,38.0
Kengeri,2,750.0,2.0,38.0
Mahalakshmi Layout,6,1200.0,7.0,250.0
Kanakpura Road,3,1550.0,3.0,64.5
Amco Colony,3,1760.0,3.0,88.0
Billekahalli,2,1125.0,2.0,62.0
Nagarbhavi,3,1350.0,3.0,150.0
Anandapura,2,1000.0,2.0,55.0
Bommasandra Industrial Area,2,1090.0,2.0,31.48
TC Palaya,2,1200.0,2.0,60.0
Budigere,3,1991.0,4.0,103.0
Bommasandra,2,1060.0,2.0,26.5
Ambalipura,2,1105.0,2.0,75.0
Hoodi,2,985.0,2.0,67.0
Chandapura,6,1533.0,5.0,85.0
Balagere,3,1590.0,3.0,79.0
CV Raman Nagar,2,1120.0,2.0,55.0
Samethanahalli,2,1069.0,2.0,55.0
Marathahalli,3,1933.0,3.0,140.0
Hosur Road,2,1194.0,2.0,69.0
Brookefield,2,1150.0,2.0,69.0
Yelenahalli,2,1240.0,2.0,47.12
Raja Rajeshwari Nagar,2,1419.0,2.0,48.1
7th Phase JP Nagar,8,1200.0,8.0,250.0
Richmond Town,3,2150.0,4.0,240.0
Suddaguntepalya,3,1450.0,3.0,55.0
Udayapur Village,3,1630.0,3.0,68.29
Dasanapura,2,708.0,1.0,40.0
Kasavanhalli,3,1000.0,4.0,110.0
Whitefield,4,11890.0,4.0,700.0
Bellandur,2,1250.0,2.0,76.0
7th Phase JP Nagar,3,1400.0,2.0,95.0
Sarjapur  Road,3,1670.0,2.0,57.0
Ardendale,3,1750.0,3.0,100.0
Vittasandra,2,1404.0,2.0,71.0
Hoodi,3,1715.0,2.0,95.0
Electronic City,1,630.0,1.0,34.65
Harlur,3,1752.12,3.0,135.0
Hulimavu,3,1650.0,3.0,78.0
Raja Rajeshwari Nagar,2,1295.0,2.0,55.47
Giri Nagar,3,1800.0,3.0,252.0
Sarjapur  Road,2,1346.0,2.0,74.03
Thippasandra,4,1200.0,4.0,200.0
Hormavu,2,1150.0,2.0,55.0
Chikkabidarakallu,4,3309.0,4.0,325.0
Chandapura,3,1190.0,2.0,30.35
AECS Layout,3,1620.0,3.0,98.0
Marathahalli,2,950.0,2.0,46.96
1 Giri Nagar,11,5000.0,9.0,360.0
Harlur,3,2450.0,3.0,120.0
Electronic City Phase II,3,1220.0,2.0,35.23
Hoysalanagar,2,850.0,2.0,30.0
Padmanabhanagar,2,1020.0,2.0,63.0
Chikkalasandra,2,1100.0,2.0,50.0
Defence Colony,2,1150.0,2.0,126.0
Hebbal,3,1760.0,2.0,130.0
Ambalipura,3,1800.0,3.0,110.0
Akshaya Nagar,2,1070.0,2.0,54.0
2nd Stage Nagarbhavi,4,1500.0,4.0,220.0
Vidyaranyapura,2,1440.0,2.0,95.0
Amruthahalli,2,900.0,2.0,40.0
ITI Employees Layout,4,1200.0,4.0,230.0
Whitefield,2,1130.0,2.0,42.16
Koramangala,2,1320.0,2.0,165.0
Kodigehalli,2,1270.0,2.0,98.0
Patelappa Layout,2,1200.0,2.0,62.0
Ring Road Nagarbhavi,4,4800.0,4.0,235.0
NS Palya,2,1200.0,2.0,74.0
Subramanyapura,2,929.0,2.0,50.17
RMV 2nd Stage,4,1150.0,4.0,260.0
Basavangudi,4,1125.0,4.0,180.0
Kenchenahalli,5,500.0,3.0,65.0
3rd Block Hrbr Layout,5,1200.0,5.0,190.0
KUDLU MAIN ROAD,3,1464.0,3.0,56.0
7th Phase JP Nagar,4,3600.0,4.0,400.0
Bank Avenue,4,2000.0,4.0,99.0
Chikkalasandra,2,1208.0,2.0,49.0
Hebbal Kempapura,2,1130.0,2.0,60.0
Surabhi Layout,3,1753.0,3.0,120.0
Old Madras Road,5,4500.0,7.0,337.0
Banjara Layout,3,600.0,3.0,58.0
Hoodi,2,1196.0,2.0,94.42
5th Phase JP Nagar,2,1150.0,3.0,52.5
Electronic City,2,1128.0,2.0,63.0
Omkar Nagar,2,1000.0,2.0,53.0
Yelahanka,2,1035.0,2.0,45.0
Kereguddadahalli,2,950.0,2.0,32.0
Bisuvanahalli,3,1075.0,2.0,36.0
Whitefield,2,1040.0,2.0,48.5
Maragondanahalli,2,720.0,2.0,45.0
Lingadheeranahalli,3,1511.0,3.0,95.0
Silk Board,3,1300.0,3.0,58.0
Hoodi,3,1545.0,3.0,68.75
Shampura,1,375.0,2.0,26.0
Vidyaranyapura,2,1062.0,2.0,38.0
Kada Agrahara,2,1115.0,2.0,40.0
JP Nagar,2,1000.0,2.0,35.0
Kambipura,2,883.0,2.0,45.0
Sarjapur  Road,2,1195.0,2.0,70.0
BHEL Layout,4,1200.0,3.0,165.0
Medahalli,1,700.0,1.0,41.0
Vittasandra,2,1246.0,2.0,67.0
8th Phase JP Nagar,4,660.0,4.0,90.0
Banashankari Stage III,4,8500.0,4.0,145.0
Kashi Nagar,4,1600.0,4.0,80.0
Haralur Road,4,2805.0,5.0,154.0
Begur Road,3,1584.0,3.0,65.0
Sector 7 HSR Layout,4,3000.0,5.0,275.0
Hosur Road,3,1175.0,2.0,48.0
"Yemlur, Old Airport Road, ",3,1595.0,3.0,115.0
VHBCS Layout,2,1353.0,2.0,110.0
Electronic City,3,1599.0,3.0,125.0
Whitefield,2,1150.0,2.0,70.0
Jakkur,4,5230.0,6.0,465.0
KR Puram,2,1155.0,2.0,42.74
Ittamadu,1,1200.0,2.0,85.0
Electronic City Phase II,2,1000.0,2.0,25.0
Thanisandra,4,3000.0,4.0,120.0
Rajiv Nagar,3,1867.0,3.0,160.0
Ramagondanahalli,2,1251.0,2.0,47.0
Gattahalli,2,1028.0,2.0,45.5
Arekere,2,1222.0,2.0,45.0
Bannerghatta Road,3,1170.0,2.0,66.0
Hebbal,3,2400.0,4.0,245.0
Ramanjaneyanagar,3,1385.0,2.0,48.48
HSR Layout,2,1372.0,2.0,68.0
Magadi Road,3,1282.0,2.0,49.0
Mico Layout,9,5000.0,9.0,210.0
7th Block Jayanagar,5,3000.0,3.0,528.0
Kanakpura Road,2,1135.0,2.0,39.73
Whitefield,3,1768.0,3.0,101.0
Byatarayanapura,3,1325.0,2.0,90.0
Electronic City,3,1599.0,3.0,99.0
Whitefield,3,1500.0,3.0,61.95
2nd Phase JP Nagar,3,2610.0,3.0,499.0
Uttarahalli,2,1286.0,2.0,63.0
Kammanahalli,5,2845.0,5.0,140.0
K G Colony,3,1600.0,2.0,50.0
Hennur Road,2,1317.5,2.0,63.77
Hebbal,3,3450.0,5.0,260.0
Munnekollal,2,1102.0,2.0,53.67
Yelahanka,2,1350.0,2.0,54.0
Banashankari,3,1200.0,2.0,42.0
Hosa Road,6,1300.0,6.0,145.0
Herohalli,2,1800.0,1.0,80.0
Chikkabanavar,2,950.0,2.0,40.0
Kanakpura Road,1,525.0,1.0,27.25
Attibele,2,656.0,2.0,25.0
Marathahalli,4,1780.0,4.0,175.0
3rd Block Hrbr Layout,2,1056.0,2.0,80.0
Bannerghatta Road,1,595.0,1.0,33.32
Ittamadu,2,1080.0,2.0,50.0
7th Phase JP Nagar,3,2225.0,3.0,160.0
Bommasandra,2,1126.0,2.0,28.15
Electronics City Phase 1,3,1490.0,3.0,84.0
HRBR Layout,4,2000.0,4.0,300.0
Sarjapur  Road,3,1550.0,3.0,100.0
Ashwini layout,2,1160.0,2.0,55.0
Whitefield,4,4144.0,4.0,315.0
Sarjapur  Road,3,2100.0,3.0,125.0
Vittasandra,2,1404.0,2.0,69.3
Sarjapur  Road,4,2230.0,4.0,225.0
Marathalli bridge,3,1544.0,3.0,120.0
Banashankari Stage III,3,1305.0,2.0,58.7
Marathahalli,2,1230.0,2.0,80.0
T.C PALYA,2,1200.0,2.0,65.0
Harlur,3,1460.0,3.0,73.0
Gottigere,2,967.0,2.0,45.0
Byatarayanapura,1,540.0,1.0,36.0
Hormavu,1,715.0,1.0,46.0
Whitefield,3,2500.0,3.0,313.0
Dooravani Nagar,3,1578.0,3.0,180.0
Mysore Road,2,1020.0,2.0,48.95
Jigani,2,1020.0,2.0,40.0
Koramangala,2,1253.0,2.0,102.0
JCR Layout,2,1180.0,2.0,42.0
Nehru Nagar,2,961.0,2.0,38.0
Kanakapura,3,1419.0,3.0,75.0
Harlur,3,1709.0,3.0,150.0
Papareddipalya,2,1600.0,2.0,115.0
Venkatapura,1,416.0,1.0,18.5
Sanjay nagar,2,1100.0,2.0,98.0
HSR Layout,3,1430.0,2.0,65.0
Sneha Colony,2,1260.0,2.0,45.0
RMV Extension,3,1630.0,3.0,85.0
Sarjapur  Road,3,1249.0,3.0,44.71
Kalena Agrahara,3,1450.0,2.0,85.0
Konanakunte,3,2791.0,3.0,223.0
Hosapalya,1,600.0,1.0,90.0
Ashwini layout,1,834.0,1.0,60.0
Doddagubbi,3,1125.0,4.0,70.0
Arekere,3,2060.0,3.0,140.0
Malleshwaram,7,12000.0,7.0,2200.0
Gottigere,2,891.0,2.0,25.0
